2/3/2025 01:07:25 AM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.979,3.872,61,58
1000,7.843,8.343,556,544
5000,12.434,14.965,2806,2786
10000,19.731,21.492,5576,5543

2/3/2025 01:07:25 AM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.007,0.016,50,50
1000,0.239,0.249,500,500
5000,5.823,4.110,2500,2500
10000,19.989,16.497,5000,5000

2/3/2025 01:07:25 AM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.005,0.008,66,53
1000,0.238,0.232,669,559
5000,4.889,4.989,3344,2793
10000,18.170,17.798,6645,5523

2/3/2025 01:08:48 AM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.975,2.595,61,58
1000,8.126,9.464,556,544
5000,10.478,13.432,2806,2786
10000,18.985,19.484,5576,5543

2/3/2025 01:08:48 AM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.011,0.023,50,50
1000,0.375,0.390,500,500
5000,5.891,5.613,2500,2500
10000,20.454,15.881,5000,5000

2/3/2025 01:08:48 AM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.007,0.011,66,53
1000,0.183,0.264,669,559
5000,5.565,4.962,3344,2793
10000,17.205,19.294,6645,5523

2/10/2025 04:16:06 PM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,N/A,N/A,N/A,N/A
1000,9.981,11.127,575,564
5000,11.298,13.270,2785,2755
10000,18.487,18.719,5506,5465

2/10/2025 04:16:06 PM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,N/A,N/A,N/A,N/A
1000,0.189,0.202,500,500
5000,4.446,4.066,2500,2500
10000,17.927,16.002,5000,5000

2/10/2025 04:16:06 PM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,N/A,N/A,N/A,N/A
1000,0.211,0.241,671,563
5000,4.237,4.876,3316,2761
10000,16.991,18.151,6646,5522

2/10/2025 04:19:43 PM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,9.837,11.359,575,564
5000,10.386,13.996,2785,2755
10000,21.471,24.258,5506,5465
30000,170.895,162.013,16580,16530

2/10/2025 04:19:43 PM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,0.198,0.187,500,500
5000,4.509,3.975,2500,2500
10000,17.746,15.804,5000,5000
30000,178.050,168.802,15000,15000

2/10/2025 04:19:43 PM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,0.205,0.269,671,563
5000,4.632,5.750,3316,2761
10000,18.526,22.790,6646,5522
30000,175.001,162.549,19876,16493

2/10/2025 05:10:21 PM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,0.009,0.011,575,564
5000,0.010,0.014,2785,2755
10000,0.018,0.018,5506,5465
30000,0.183,0.160,16580,16530

2/10/2025 05:10:21 PM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,0.000,0.000,500,500
5000,0.004,0.004,2500,2500
10000,0.018,0.019,5000,5000
30000,0.176,0.156,15000,15000

2/10/2025 05:10:21 PM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
1000,0.000,0.000,671,563
5000,0.004,0.004,3316,2761
10000,0.016,0.018,6646,5522
30000,0.153,0.160,19876,16493

