2/3/2025 01:07:25 AM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.979,3.872,61,58
1000,7.843,8.343,556,544
5000,12.434,14.965,2806,2786
10000,19.731,21.492,5576,5543

2/3/2025 01:07:25 AM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.007,0.016,50,50
1000,0.239,0.249,500,500
5000,5.823,4.110,2500,2500
10000,19.989,16.497,5000,5000

2/3/2025 01:07:25 AM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.005,0.008,66,53
1000,0.238,0.232,669,559
5000,4.889,4.989,3344,2793
10000,18.170,17.798,6645,5523

2/3/2025 01:08:48 AM --- AVERAGE CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.975,2.595,61,58
1000,8.126,9.464,556,544
5000,10.478,13.432,2806,2786
10000,18.985,19.484,5576,5543

2/3/2025 01:08:48 AM --- BEST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.011,0.023,50,50
1000,0.375,0.390,500,500
5000,5.891,5.613,2500,2500
10000,20.454,15.881,5000,5000

2/3/2025 01:08:48 AM --- WORST CASE
,FF (time),FFD (time),FF (bins),FFD (bins)
100,0.007,0.011,66,53
1000,0.183,0.264,669,559
5000,5.565,4.962,3344,2793
10000,17.205,19.294,6645,5523

